flow,compartment,unit,amount
Barium(2+),Emissions / Emissions to water,kilogram,0.012841278149592393
aluminium,Emissions / Emissions to soil,kilogram,0.012784219124725002
Cyanide,Emissions / Emissions to water,kilogram,0.012570011263641512
Xenon-131m,air,kilo Becquerel,0.012365995065475968
Iodine-129,Emissions / Emissions to air,kilo Becquerel,0.01234772291040463
Sulfur,Emissions / Emissions to water,kilogram,0.01219976819123327
Potassium,air,kilogram,0.011693369385990547
To Inland Water Bodies,land use,square meter,0.011673838305840829
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.011339497829970646
Formaldehyde,Emissions / Emissions to air,kilogram,0.011254595044726305
Acetylene,Emissions / Emissions to air,kilogram,0.011131550996129405
Silicon,Emissions / Emissions to air,kilogram,0.011047685281454275
Chlorobenzene,Emissions / Emissions to water,kilogram,0.011040757706163131
Iodine-129,Emissions / Emissions to water,kilo Becquerel,0.010955071053608118
"From Forest, Extensive",Land use / Land transformation,square meter,0.010840632335337027
Methanol,Emissions / Emissions to air,kilogram,0.010713911271005265
Nickel,Emissions / Emissions to air,kilogram,0.010501485981700146
Magnesium,Emissions / Emissions to soil,kilogram,0.01022738909789518
Sulfur,Emissions / Emissions to soil,kilogram,0.010165439515403555
Talc,resources / in ground,kilogram,0.009926441732537082
Copper,Emissions / Emissions to water,kilogram,0.009802043757009582
ammonium,Emissions / Emissions to water,kilogram,0.009763602674795807
Phosphate,Emissions / Emissions to water,kilogram,0.00961323029448691
bromine,Emissions / Emissions to water,kilogram,0.009599680094182418
hydrogen sulfide,Emissions / Emissions to water,kilogram,0.009412582000766131
Benzene,Emissions / Emissions to air,kilogram,0.009134889736970337
Zinc,Emissions / Emissions to air,kilogram,0.009045655162848741
Bauxite,soil,kilogram,0.008953321162921043
"Oils, Unspecified",Emissions / Emissions to water,kilogram,0.008891796248907947
Propylene Oxide,Emissions / Emissions to air,kilogram,0.008604259305693276
Hydrogen Chloride,Emissions / Emissions to air,kilogram,0.008540899272723957
Cesium-134,Emissions / Emissions to water,kilo Becquerel,0.00830455472422685
Nickel,Emissions / Emissions to water,kilogram,0.008221559559300977
Propylene,Emissions / Emissions to air,kilogram,0.007965926868884783
Copper,Emissions / Emissions to water,kilogram,0.007908846947726821
