flow,compartment,unit,amount
Ammonia,Emissions / Emissions to air,kilogram,3.883075579909757e-06
Particles (> PM10),air,kilogram,3.797618577191471e-06
Colemanite,soil,kilogram,3.6839358522188763e-06
"Hydrocarbons, Aliphatic, Alkanes, Unspecified",air,kilogram,3.6481814821784123e-06
Particles (PM10),Emissions / Emissions to air,kilogram,3.502117406146182e-06
Nitrous Oxide,Emissions / Emissions to air,kilogram,3.4612220892900584e-06
Bromine,Emissions / Emissions to water,kilogram,3.42669628752533e-06
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,3.3196687391173437e-06
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,3.258389420307706e-06
Radium-228,air,kilo Becquerel,3.246002821353316e-06
Chromium-51,water,kilo Becquerel,3.1931056551100468e-06
iron,Emissions / Emissions to air,kilogram,3.182289296677173e-06
To Inland Water Bodies,land use,square meter,3.004572093247793e-06
Arsenic,Emissions / Emissions to water,kilogram,2.9853500720579857e-06
Bromine,Emissions / Emissions to water,kilogram,2.9668032267485744e-06
Aluminium,Emissions / Emissions to air,kilogram,2.9264269245230385e-06
Boron,Emissions / Emissions to water,kilogram,2.716065134434304e-06
Sulfate Ion,air,kilogram,2.694551378963796e-06
"Oils, Unspecified",Emissions / Emissions to water,kilogram,2.652195561438237e-06
Nitrous Oxide,Emissions / Emissions to air,kilogram,2.645624062481783e-06
Butane,Emissions / Emissions to air,kilogram,2.6063332244183544e-06
"Hydrocarbons, Aromatic",Emissions / Emissions to water,kilogram,2.597231415473488e-06
Heptane,Emissions / Emissions to air,kilogram,2.554805143262983e-06
Ethane,Emissions / Emissions to air,kilogram,2.513339541684746e-06
Potassium-40,air,kilo Becquerel,2.487105605101316e-06
Xenon-138,air,kilo Becquerel,2.4578247662280054e-06
Iron,Emissions / Emissions to soil,kilogram,2.3372189009890065e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,2.3347449526955473e-06
Kaolinite,soil,kilogram,2.3191590126668256e-06
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,2.3135529950342096e-06
Chrysotile,resources / in ground,kilogram,2.3098700570974408e-06
Xenon-137,air,kilo Becquerel,2.2388081965623517e-06
Sand,soil,kilogram,2.123668392414431e-06
Thorium-230,Emissions / Emissions to air,kilo Becquerel,2.081883663332064e-06
Carbon disulfide,Emissions / Emissions to air,kilogram,2.077803020468881e-06
Potassium,air,kilogram,2.0232948619687707e-06
Phosphate,Emissions / Emissions to water,kilogram,2.012508418884435e-06
"Noise, aircraft, freight",non material emissions / unspecified,ton kilometer,1.9921835843243496e-06
Ozone,air,kilogram,1.9475711755543622e-06
"Hydrocarbons, Aromatic",Emissions / Emissions to water,kilogram,1.9290685508581654e-06
Magnesium,natural resource,kilogram,1.9199223670011257e-06
Hydrogen Chloride,Emissions / Emissions to air,kilogram,1.8895004963074338e-06
Uranium-238,Emissions / Emissions to air,kilo Becquerel,1.8847008377208732e-06
"Energy, Geothermal, Converted",natural resource,megajoule,1.820177696243696e-06
Thorium-232,emissions to water / river,kilo Becquerel,1.8084591456125372e-06
Toluene,Emissions / Emissions to air,kilogram,1.8007054536107293e-06
Sulfide ion,water,kilogram,1.7981930066782079e-06
Calcium,Emissions / Emissions to soil,kilogram,1.780010934713923e-06
Formaldehyde,Emissions / Emissions to air,kilogram,1.7142498621580895e-06
Volatile Organic Compound,Emissions / Emissions to water,kilogram,1.7133483301402044e-06
"Agriculture, Mosaic",Land use / Land occupation,square meter-year,1.7083428674370997e-06
Benzene,Emissions / Emissions to air,kilogram,1.6438460362982773e-06
Nickel,Emissions / Emissions to air,kilogram,1.637329599366567e-06
To Pasture/meadow,Land use / Land transformation,square meter,1.6248881018152692e-06
Silicon,Emissions / Emissions to soil,kilogram,1.5772058681905752e-06
"Hydrocarbons, Chlorinated",air,kilogram,1.5698389594061385e-06
lead,Emissions / Emissions to water,kilogram,1.569562289211105e-06
Benzene,Emissions / Emissions to air,kilogram,1.5613951181159873e-06
Zinc-65,water,kilo Becquerel,1.5366755727572582e-06
To Unspecified,Land use / Land transformation,square meter,1.526067575183059e-06
Lead,Emissions / Emissions to air,kilogram,1.471493170782436e-06
Fluoride Ion,Emissions / Emissions to water,kilogram,1.3647008524748454e-06
tin,Emissions / Emissions to water,kilogram,1.3422470025223117e-06
Methyl Cyclopentane,Emissions / Emissions to water,kilogram,1.3173894090411545e-06
Lithium,Emissions / Emissions to water,kilogram,1.2969459543806008e-06
Zinc,Emissions / Emissions to water,kilogram,1.2802189500470895e-06
Antimony-124,Emissions / Emissions to water,kilo Becquerel,1.2802004341373228e-06
arsenic,Emissions / Emissions to water,kilogram,1.2707874979682032e-06
Sulfur,Emissions / Emissions to water,kilogram,1.2666641980877717e-06
Potassium-40,air,kilo Becquerel,1.2568677124474513e-06
"Oils, Unspecified",Emissions / Emissions to soil,kilogram,1.2428050276449325e-06
"Water, salt, sole",resources / in water,cubic meter,1.2345575084862029e-06
Iron,Emissions / Emissions to water,kilogram,1.1913555253561596e-06
Silicon,Emissions / Emissions to soil,kilogram,1.1890856836320528e-06
Boron,Emissions / Emissions to water,kilogram,1.1746078258261517e-06
Zinc,Emissions / Emissions to water,kilogram,1.164198072365482e-06
Chromium,Emissions / Emissions to water,kilogram,1.1582378588111415e-06
Sodium chloride,resources / in water,kilogram,1.1213129592609648e-06
"Nitrogen, Total (excluding N2)",Emissions / Emissions to water,kilogram,1.0765828296939386e-06
