flow,compartment,unit,amount
Iodine-129,Emissions / Emissions to air,kilo Becquerel,0.0009674490218343254
Butane,Emissions / Emissions to air,kilogram,0.0009564214698950038
Carbonate Ion,water,kilogram,0.0009436931529089582
Propane,Emissions / Emissions to air,kilogram,0.0009084964980493837
Ethylene,Emissions / Emissions to air,kilogram,0.0008980871786350136
tungsten,Emissions / Emissions to water,kilogram,0.000874886079142886
Potassium,air,kilogram,0.0008732679317983024
Fluoride Ion,Emissions / Emissions to water,kilogram,0.0008669770986243023
Iron,Emissions / Emissions to water,kilogram,0.0008483539157590753
Particles (PM10),Emissions / Emissions to air,kilogram,0.0008343348394904791
"Carboxylic Acids, Unspecified",water,kilogram,0.000806060894347451
Ammonia,Emissions / Emissions to air,kilogram,0.0008056394885202491
Lead,Emissions / Emissions to air,kilogram,0.0008055714978729158
Fluorine,natural resource,kilogram,0.0008041737496423988
Acetic Acid,Emissions / Emissions to air,kilogram,0.0007987315972992823
Pentane,Emissions / Emissions to air,kilogram,0.0007645540829495025
iron,Emissions / Emissions to air,kilogram,0.0007581398618378908
molybdenum,Emissions / Emissions to water,kilogram,0.0007494503888464031
Tin atom,Resources / Resources from ground,kilogram,0.0007481230444044998
Hydrogen,air,kilogram,0.0007233816979750554
cadmium,Emissions / Emissions to water,kilogram,0.0007107896930773524
Aluminium,Emissions / Emissions to air,kilogram,0.0006971839068397963
Ammonium,Emissions / Emissions to water,kilogram,0.0006963000815581316
Benzene,Emissions / Emissions to water,kilogram,0.0006944297113722637
Cumene,Emissions / Emissions to water,kilogram,0.0006855912936384837
"Oils, Unspecified",Emissions / Emissions to water,kilogram,0.0006680458530166671
Pentane,Emissions / Emissions to air,kilogram,0.0006439066595857169
Sulfate Ion,air,kilogram,0.0006419425211597481
Benzene,Emissions / Emissions to air,kilogram,0.0006323399775462581
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,0.0006300936899135488
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.0006285899911017936
aluminium,Emissions / Emissions to soil,kilogram,0.0006033200753687433
Iron,Emissions / Emissions to air,kilogram,0.0005758502814034929
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.0005731463457778881
selenium,Emissions / Emissions to water,kilogram,0.0005724712479512845
Colemanite,soil,kilogram,0.0005668243186517164
Carbon,soil,kilogram,0.0005617983236085086
fluorane,Emissions / Emissions to air,kilogram,0.0005589682452313027
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.0005562232267448144
Barium,Emissions / Emissions to water,kilogram,0.0005541839410409005
Argon-41,air,kilo Becquerel,0.0005421510814096257
antimony,Emissions / Emissions to water,kilogram,0.0005349933653439615
Sand,soil,kilogram,0.0005335282730150155
Propane,Emissions / Emissions to air,kilogram,0.000518053779092301
Zinc-65,water,kilo Becquerel,0.0005100883241010361
"Carboxylic Acids, Unspecified",water,kilogram,0.000508680338896928
Magnesium,Emissions / Emissions to soil,kilogram,0.0004826564169085201
Calcium,Emissions / Emissions to air,kilogram,0.00047326704596149013
Sulfur,Resources / Resources from ground,kilogram,0.00046365121956805345
"Hydrocarbons, Aromatic",Emissions / Emissions to air,kilogram,0.00046141492746774095
Nickel,Emissions / Emissions to air,kilogram,0.00045896068303064524
fluorane,Emissions / Emissions to air,kilogram,0.000440152299189026
Iron,Emissions / Emissions to soil,kilogram,0.0004396152094508699
Ozone,air,kilogram,0.0004349282636166841
Magnesium,natural resource,kilogram,0.0004268732450355867
Barium(2+),Emissions / Emissions to water,kilogram,0.00041637528552946094
"Oils, biogenic",emissions to soil / forestry,kilogram,0.0004109007329560678
Chromium,Emissions / Emissions to water,kilogram,0.0004080041268893122
Thorium-230,Emissions / Emissions to air,kilo Becquerel,0.0004050141752838959
Methanol,Emissions / Emissions to air,kilogram,0.00040298780966708397
Ethane,Emissions / Emissions to air,kilogram,0.0003964213730693875
Thorium-232,emissions to water / river,kilo Becquerel,0.000393465715982273
Manganese,Emissions / Emissions to water,kilogram,0.0003812829382646897
Formaldehyde,Emissions / Emissions to air,kilogram,0.0003806242472546244
Benzene,Emissions / Emissions to air,kilogram,0.00038019305215645713
sulfur,Emissions / Emissions to soil,kilogram,0.00036199197294383085
Formaldehyde,Emissions / Emissions to air,kilogram,0.0003487761558416572
Antimony-124,Emissions / Emissions to water,kilo Becquerel,0.0003384812931349678
"Water, salt, sole",resources / in water,cubic meter,0.0003322243368082826
Formaldehyde,Emissions / Emissions to air,kilogram,0.00032683369864842357
Iron,Emissions / Emissions to soil,kilogram,0.00032668972770191133
Scandium,"emissions to water / groundwater, long-term",kilogram,0.00032249529218742487
Manganese-54,Emissions / Emissions to water,kilo Becquerel,0.0003071567082213809
Xenon-131m,air,kilo Becquerel,0.0003051955649322168
"Hydrocarbons, Chlorinated",air,kilogram,0.00030444218325070734
Barium(2+),Emissions / Emissions to soil,kilogram,0.0003016599746252821
Artificial Areas,Land use / Land occupation,square meter-year,0.0003016180533507005
Hydrogen Chloride,Emissions / Emissions to air,kilogram,0.0002988192839990653
Hexane,Emissions / Emissions to air,kilogram,0.0002921214316352674
hydrogen sulfide,Emissions / Emissions to water,kilogram,0.0002910593705238185
Gypsum,resources / in ground,kilogram,0.00029054530132768504
Antimony-125,Emissions / Emissions to water,kilo Becquerel,0.00029035670416241015
Propylene,Emissions / Emissions to water,kilogram,0.00028624239342543977
Cumene,Emissions / Emissions to air,kilogram,0.00028530816301453185
"Hydrocarbons, Aliphatic, Alkanes, Unspecified",air,kilogram,0.0002738202886400471
Zinc,Emissions / Emissions to air,kilogram,0.0002728464473145521
Toluene,Emissions / Emissions to air,kilogram,0.00026614957439805313
Hexane,Emissions / Emissions to air,kilogram,0.00026566788177836867
Bromate,Emissions / Emissions to water,kilogram,0.0002606947236136591
Ethylene,Emissions / Emissions to water,kilogram,0.0002522513109345146
"Oils, Unspecified",Emissions / Emissions to water,kilogram,0.0002520969218916206
Iodide Ion,Emissions / Emissions to water,kilogram,0.0002500021091964573
Butane,Emissions / Emissions to air,kilogram,0.0002479189803849651
Talc,resources / in ground,kilogram,0.00024165673773377357
Propylene,Emissions / Emissions to air,kilogram,0.0002373635199969987
Methanol,Emissions / Emissions to air,kilogram,0.00023546619834690903
